,encrypted_user_id,title,date,location,department,amount,description
0,0,They said it is registration fee for birth certificate,2020-10-14 14:28:00+03:00,"Bangalore,Karnataka","Births, Family and Care",400,-
1,0,Paid bribe for not having insurance during pandemic,2020-10-13 12:15:00+03:00,"Bangalore,Karnataka",Vehicle Insurance,350,-
2,0,Forced to pay bribe at KR Puram RTO,2020-10-13 06:21:00+03:00,"Bangalore,Karnataka",Driving and Transport Business,100,-
3,0,Forced to pay 100 rupees bribe for LL test,2020-10-13 10:43:00+03:00,"Bangalore,Karnataka",Driving Licenses and Tests,100,-
4,0,Misusing of power and traping people in false case to make money,2020-10-13 13:19:00+03:00,"Siwan,Bihar",FIR and Complaints,15000,-
5,0,Traping of small business man by misusing rules and policies.,2020-10-13 00:45:00+03:00,"Siwan,Bihar",Policies and Procedures,15000,-
6,0,Bribe paid to VAO for patta transfer,2020-10-10 15:34:00+03:00,"Coimbatore,TamilNadu",Others,5000,-
7,0,Police officer asked bribe to clear passport verification,2020-10-10 19:36:00+03:00,"Bangalore,Karnataka",Police Clearance Certificate,500,-
8,0,Driving license issuance process is a joke,2020-09-10 21:02:00+03:00,"Hyderabad,Telangana",Driving Licenses and Tests,2500,-
9,0,Trader license,2020-06-10 03:45:00+03:00,"Mysore,Karnataka",Registrations and Licenses,4000,-
10,0,They said it is registration fee for birth certificate,2020-10-14 17:23:00+03:00,"Bangalore,Karnataka","Births, Family and Care",400,-
11,0,Paid bribe for not having insurance during pandemic,2020-10-13 13:57:00+03:00,"Bangalore,Karnataka",Vehicle Insurance,350,-
12,0,Forced to pay bribe at KR Puram RTO,2020-10-13 18:21:00+03:00,"Bangalore,Karnataka",Driving and Transport Business,100,-
13,0,Forced to pay 100 rupees bribe for LL test,2020-10-13 14:19:00+03:00,"Bangalore,Karnataka",Driving Licenses and Tests,100,-
14,0,Misusing of power and traping people in false case to make money,2020-10-13 07:23:00+03:00,"Siwan,Bihar",FIR and Complaints,15000,-
15,0,Traping of small business man by misusing rules and policies.,2020-10-13 04:44:00+03:00,"Siwan,Bihar",Policies and Procedures,15000,-
16,0,Bribe paid to VAO for patta transfer,2020-10-10 17:58:00+03:00,"Coimbatore,TamilNadu",Others,5000,-
17,0,Police officer asked bribe to clear passport verification,2020-10-10 06:51:00+03:00,"Bangalore,Karnataka",Police Clearance Certificate,500,-
18,0,Driving license issuance process is a joke,2020-09-10 05:38:00+03:00,"Hyderabad,Telangana",Driving Licenses and Tests,2500,-
19,0,Trader license,2020-06-10 02:15:00+03:00,"Mysore,Karnataka",Registrations and Licenses,4000,-
20,0,They said it is registration fee for birth certificate,2020-10-14 09:49:00+03:00,"Bangalore,Karnataka","Births, Family and Care",400,-
21,0,Paid bribe for not having insurance during pandemic,2020-10-13 12:14:00+03:00,"Bangalore,Karnataka",Vehicle Insurance,350,-
22,0,Forced to pay bribe at KR Puram RTO,2020-10-13 05:03:00+03:00,"Bangalore,Karnataka",Driving and Transport Business,100,-
23,0,Forced to pay 100 rupees bribe for LL test,2020-10-13 02:54:00+03:00,"Bangalore,Karnataka",Driving Licenses and Tests,100,-
24,0,Misusing of power and traping people in false case to make money,2020-10-13 08:09:00+03:00,"Siwan,Bihar",FIR and Complaints,15000,-
25,0,Traping of small business man by misusing rules and policies.,2020-10-13 12:34:00+03:00,"Siwan,Bihar",Policies and Procedures,15000,-
26,0,Bribe paid to VAO for patta transfer,2020-10-10 19:58:00+03:00,"Coimbatore,TamilNadu",Others,5000,-
27,0,Police officer asked bribe to clear passport verification,2020-10-10 13:05:00+03:00,"Bangalore,Karnataka",Police Clearance Certificate,500,-
28,0,Driving license issuance process is a joke,2020-09-10 03:34:00+03:00,"Hyderabad,Telangana",Driving Licenses and Tests,2500,-
29,0,Trader license,2020-06-10 13:27:00+03:00,"Mysore,Karnataka",Registrations and Licenses,4000,-
30,0,Fed up of giving bribe,2020-06-10 00:00:00+03:00,"Jhansi,UttarPradesh",Service Tax,50000,-
31,0,Officer Asking Additional 2500 rs. for the property tax registration,2020-06-10 08:49:00+03:00,"BiharSharif,Bihar",Building and Housing,2500,-
32,0,Asked bribe threatening about pollution certificate,2020-06-10 04:58:00+03:00,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",500,-
33,0,Bribery for asking a report,2020-05-10 19:07:00+03:00,"Thane,Maharashtra",Autorickshaws,50000,-
34,0,I paid 500rs bribe for passport police verification,2020-02-10 04:31:00+03:00,"NewDelhi,Delhi",,500,-
35,0,ACCT LVO 060,2020-01-10 01:33:00+03:00,"Bangalore,Karnataka",Sales Tax,50000,-
36,0,"Excise dept at Anmod Ghat,  Belgaum",2020-09-27 20:40:00+03:00,"Belgaum,Karnataka",Excise,4000,-
37,0,I am an advocate one widow lady namely Reema came at my office and told that my husband has committe,2020-09-27 16:28:00+03:00,"NewDelhi,Delhi",Policies and Procedures,1000,-
38,0,For clearing papers in survey for SRA,2020-09-25 16:13:00+03:00,"Mumbai,Maharashtra",,500000,-
39,0,Paid bribe at Sub-Registrar office Raisinghnagar,2020-09-25 10:40:00+03:00,"Ganganagar,Rajasthan",Property Registration,18000,-
40,0,Constant Flow of Bribe,2020-09-25 04:14:00+03:00,"Sirsa,Haryana",Building and Housing,15000,-
41,0,To encash cheque/KYC,2020-09-23 14:29:00+03:00,"Supaul,Bihar",Loan Sanctioning,500,-
42,0,Labour inspector asked to pay bribe of rs.6000 for Shop & establishment act licence.,2020-09-23 13:31:00+03:00,"SASNagar,Punjab",Registrations and Licenses,6000,-
43,0,"Peshkar corrupt, inhuman,deshdrohi, samaz ke lie  khatra",2020-09-23 12:20:00+03:00,"Ghaziabad,UttarPradesh",Court Related,1000,-
44,0,I paid bribe to police who came for passport verification,2020-09-18 14:08:00+03:00,"Bareilly,UttarPradesh",Verification and Certificates,500,-
45,0,VEHICLE HAS TAKEN UNDER THEIR CUSTODY,2020-09-16 18:30:00+03:00,"Ulhasnagar,Maharashtra","Traffic Fines, Penalties, Rules",200,-
46,0,For drug license,2020-09-15 19:20:00+03:00,"Garhwa,Jharkhand",Drugs License,40000,-
47,0,Peshkar fraud,2020-10-09 02:43:00+03:00,"Ghaziabad,UttarPradesh",Court Related,1000,-
48,0,"Hello, I have a question? How can I get your advice and valuable…",2020-10-09 11:32:00+03:00,"Abhayapuri,Assam",Others,100,-
49,0,Police constable threatened  me to detain my bike.,2020-09-09 09:43:00+03:00,"Ahmedabad,Gujarat","Traffic Fines, Penalties, Rules",100,-
50,0,For FRRO Approval 10000/-,2020-08-09 08:04:00+03:00,"Noida,UttarPradesh",Visa,10000,-
51,0,Jagadish Panchayat clerk took bribe from me to katha,2020-07-09 03:17:00+03:00,"Bangalore,Karnataka",Others,40000,-
52,0,I paid bride in the sub Register office,2020-07-09 21:15:00+03:00,"Bangalore,Karnataka",Property Registration,20000,-
53,0,Passport Police Verification,2020-06-09 18:12:00+03:00,"Bangalore,Karnataka",Verification and Certificates,500,-
54,0,Bribe for katha,2020-05-09 16:37:00+03:00,"Ramnagar,Bihar",Khata,10000,-
55,0,Bribe taken by traffic polive,2020-04-09 03:11:00+03:00,"Howrah,WestBengal",Driving Licenses and Tests,2000,-
56,0,CDSCO FOR DIAGNOSTIC KIT APPROVAL,2020-01-09 01:20:00+03:00,"Ambala,Haryana",Drugs License,200000,-
57,0,DISTRICT DRUG INSPECTOR NEEDS ANNUAL RENEWAL FEES,2020-01-09 23:39:00+03:00,"Ambala,Haryana",Drugs License,100000,-
58,0,Quarantine issues at the airport,2020-08-30 19:06:00+03:00,"NewDelhi,Delhi",Visa,5000,-
59,0,Paid a bribe for obtaining my original marksheets and certificate,2020-08-29 01:54:00+03:00,"Patna,Bihar",College Leaving Certificate,300,-
60,0,They said it is registration fee for birth certificate,2020-10-14 14:25:00+03:00,"Bangalore,Karnataka","Births, Family and Care",400,-
